feature;importance_mean;importance_std;val_imp_0;val_imp_1;val_imp_2;val_imp_3;val_imp_4
SwapPlayersEffect;0.0010155472749946437;0.0006252458743788888;0.0013546749825411597;0.0015368789718438747;0.0016625500057307063;0.00034254445206979844;0.00018108796278767936
Addition;0.0010116371731845875;0.0008957931577182981;0.0008325472040541515;0.0022382953073437073;0.0014492304449836846;0.0010375365760779132;-0.0004994236665365193
NoProgressDrawFrequency & NoProgressEndFrequency;0.0010059081019323014;0.0013632974680938908;-8.835122041289667e-05;0.0029352725467641505;0.002387630821624326;-4.450240549466744e-05;-0.00016050923281940577
EncloseCapture;0.0010056892857123524;0.0008138039143330664;0.001320052071191985;0.002280936611071288;0.001100053037129456;0.0004461168117461667;-0.00011871210257713427
Timeouts;0.000997530332448282;0.0022187227142720675;0.0003664530129727228;0.0009327565008286354;0.005232454195278874;-0.0006880410656456282;-0.0008559709811931937
OutcomeUniformity;0.0009614749081274188;0.004463248972819255;0.005814544624757584;-0.004378880986636302;0.005970718185381529;0.0011718020858893785;-0.003770809368755096
ScoreDifferenceMaxDecrease & ScoreDifferenceMedian;0.0009575915544009939;0.0012842615915566143;0.0019168572286251961;0.0019072775329626868;0.001387917730913929;0.0011114431169744754;-0.001535537837471318
NoMovesLossFrequency;0.0009564966167823763;0.0006156668028139814;0.0008606860205336575;0.0016530217299805527;0.001646226384774102;0.0005263916257015333;9.615732292203583e-05
TrackOwned;0.0009393462572466427;0.0012381095331998465;0.002397562424696631;0.000599532181990492;0.0017627867758293336;0.0011640999566338295;-0.0012272500529170727
ThreeMensMorrisBoardWithTwoTriangles;0.0009361641184515823;0.0012502232598552811;0.0002741098891185789;0.0;0.0034092345555288006;0.00046864270583327206;0.00052883344177726
Operations;0.0009333967355330042;0.002641214307013459;0.0013535347946149745;0.0028314747193126932;0.0034236430579840382;0.0011116902043436516;-0.004053359098590337
BoardStyle & GraphStyle & Vertex;0.0009320702638560885;0.0010105263788242876;0.0008061802314196787;0.001740936610029692;0.0022463959063119265;0.0005307656253048798;-0.0006639270537857345
NumOuterSites & NumPerimeterSites;0.0009264365041219136;0.0029528256522376155;-0.0008645596303914205;0.0010188029593105052;0.004604855263769525;0.0034642289522054948;-0.0035911450242845366
FromToDecisionEnemyFrequency;0.00092143183672041;0.0009857154092705058;0.0010691138438397307;0.0006904416444845074;0.0025911493073368097;0.0007351473921798635;-0.0004786930042388615
HopEffect;0.0009073674295491385;0.0005262644527471423;0.0016048434722005511;0.00035104506630528887;0.0014344175954940641;0.000782757633591119;0.0003637733801546694
CrossBoard;0.0009016136605789094;0.0008617141458081411;0.0007853040314755311;0.0019728823278910013;0.0017370472854991437;0.0003606133004074863;-0.00034777864237861555
Style & Visual;0.0008970768232713811;0.0004668667037091155;0.000218373076411843;0.0014830500166118643;0.0011779824454289656;0.001110565571407346;0.0004954130064968865
MoveDistanceChangeNumTimes;0.0008929552626956161;0.001425850223473695;-0.0004600509813781628;0.0016997620014120862;0.0026556792384969663;0.0016697055870374955;-0.0011003195320903048
BranchingFactorChangeMaxIncrease & DecisionFactorMaxIncrease;0.000877389152528324;0.0025120568118649866;0.0027231064622854073;-0.002495842582738661;0.0032805555518690133;0.0027426253087476093;-0.0018634989775217492
NoOwnPiecesEnd & NoOwnPiecesEndFrequency & NoOwnPiecesWin & NoOwnPiecesWinFrequency;0.0008730374057053847;0.0006726411950767207;0.0017734692036757982;0.000735370451986711;0.0014947338322402748;0.0003901250945319845;-2.85115539078451e-05
PieceDirection & PlayersWithDirections;0.0008665529197772248;0.0009846456052135493;0.0012512131772394464;-7.327115210570279e-05;0.0014086353361668635;0.0022002076176497187;-0.00045402038006420176
AdjacentDirection;0.0008577604601880228;0.001402980026130352;0.0022409366438695677;0.00015890200056381532;0.0026868489451153943;0.00028516816380211307;-0.001083053452410776
SowBacktracking & SowBacktrackingFrequency;0.0008535929247650287;0.0011059199234866443;0.0026706677288720893;0.0012071300448903977;0.0006975177117127251;0.0004097988340357184;-0.000717149695685787
FromToDecision;0.0008437089870774794;0.0013004427659222917;0.002054843339280077;0.0008919971343996358;0.0024212965372872597;-8.823500193877454e-05;-0.0010613570736408007
NoMovesNext;0.0008295816412039137;0.001264728728933225;0.0025663944500968483;0.0009557534204543972;0.0004330516532468076;0.0014625123040452048;-0.0012698036218236897
SetValue & SetValueFrequency;0.0008220038821340481;0.0007431625730609458;0.0007632267521437974;0.002246646195801727;0.00018900314916811545;0.0006275563909799164;0.00028358692257668405
NoMovesMover;0.0008194434307088383;0.0010848819873307818;0.0016231584915728792;-0.0010696310197420844;0.001695093673254322;0.0015882001594156037;0.000260395849043471
Set;0.0008168285238047857;0.0007720852647112943;0.001321536290087022;0.0019244981646402426;0.00023714637603181044;0.0008615758841137022;-0.000260614095848849
SetNextPlayer;0.0008059521329305819;0.0008033269113043171;0.0018384453057983252;0.0004834206363557303;-0.00036663546181250894;0.0015732822916330047;0.0005012478926783581
GroupEnd;0.0007948572175478618;0.0011394879504981542;0.0011920033294828547;0.002606488057791456;-0.00018359688987554246;-0.0006382935139312151;0.000997685104271756
MancalaFourRows;0.0007919622781009661;0.0007850764228573483;0.0018124580806834212;0.0012425291717876874;0.0010092812569770515;-0.00047928760737642184;0.0003748304884330922
agent2_playout;0.0007914277935433367;0.0012949068016293967;0.0021622665331715307;0.002284550281212966;0.0003196617857783024;0.000367159945129758;-0.0011764995775758735
ForgetValues & RememberValues;0.0007839724890647715;0.000976693060042009;0.0018848091499304997;-0.000852376503133051;0.001203928145331934;0.00025135779492618804;0.0014321438582682866
ProposeDecisionFrequency;0.0007821839821099463;0.0018657113605725628;0.0016328363398801227;0.0;0.0034146535255689114;0.001088752208387056;-0.0022253221632863585
NoMovesDraw;0.0007696070796659127;0.0008894099251373759;0.00015699911395691823;0.0007041470423197194;0.001935745950447404;0.0015494588677700538;-0.0004983155761645319
